scale_factor,contrast_ratio,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,text_color_R,text_color_G,text_color_B,background_color_R,background_color_G,background_color_B
0.75,4.179216701217608,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,0,0,0,111,111,111
0.75,3.8147582474539985,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,15,15,15,111,111,111
0.75,3.2802826071756064,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,31,31,31,111,111,111
0.75,2.6644318185811424,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,47,47,47,111,111,111
0.75,2.0957580175225963,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,63,63,63,111,111,111
0.75,1.6301196491684653,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,79,79,79,111,111,111
0.75,1.2707778758161756,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,95,95,95,111,111,111
0.75,1.0,,0.0,,0.0,111,111,111,111,111,111
0.75,1.2549277826998284,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,127,127,127,111,111,111
0.75,1.5537711263729894,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,143,143,143,111,111,111
0.75,1.8984612893581252,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,159,159,159,111,111,111
0.75,2.290814431682573,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,175,175,175,111,111,111
0.75,2.7325482932626857,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,191,191,191,111,111,111
0.75,3.2252952639604393,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Meret,0.038461538461538436,207,207,207,111,111,111
0.75,3.7706128449533347,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Togo,0.038461538461538436,223,223,223,111,111,111
0.75,4.369992171920902,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Urea zer neo ge SUC AL4,0.07692307692307687,239,239,239,111,111,111
0.75,5.024865064757633,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Ure azer Neo ge SUNN,0.07692307692307687,255,255,255,111,111,111
